poi_id,name,location,category,latitude,longitude,hours_raw,hours_status,data_status,source_url
osm:way:907749050,Đình thần Phước Kiển,Đồng Nai,temple,10.7439538,106.94515132408523,,unknown,usable,https://www.openstreetmap.org/way/907749050
osm:way:907749051,Đình thần Ông Kèo,Đồng Nai,temple,10.6766619,106.86085512116344,,unknown,usable,https://www.openstreetmap.org/way/907749051
osm:way:907749052,Đình thần Phú Thạnh,Đồng Nai,temple,10.72331805,106.84422430923354,,unknown,usable,https://www.openstreetmap.org/way/907749052
osm:way:907749053,Đình Phước Lương,Đồng Nai,temple,10.740258749999999,106.77543422748128,,unknown,usable,https://www.openstreetmap.org/way/907749053
osm:way:907749054,Đình Phước Khánh,Đồng Nai,temple,10.677194,106.7883563,,unknown,usable,https://www.openstreetmap.org/way/907749054
osm:way:907749063,Đình Long Hưng,Đồng Tháp,temple,10.38067655,106.26713720000001,,unknown,usable,https://www.openstreetmap.org/way/907749063
osm:way:907749065,Đình Trung Gò Công,Đồng Tháp,temple,10.360400649999999,106.67500594071805,,unknown,usable,https://www.openstreetmap.org/way/907749065
osm:way:907749067,Đình Trung Đồng Thạnh,Đồng Tháp,temple,10.397225599999999,106.56975756743759,,unknown,usable,https://www.openstreetmap.org/way/907749067
osm:way:907749068,Đình thần Tân Xuyên,Cà Mau,temple,9.18563415,105.14978983105614,,unknown,usable,https://www.openstreetmap.org/way/907749068
osm:way:907749069,Đình Long Trung,Đồng Tháp,temple,10.34234145,106.1217441,,unknown,usable,https://www.openstreetmap.org/way/907749069
osm:way:907749070,Đình thần Thiện Mỹ,Vĩnh Long,temple,9.9635244,105.92077300108053,,unknown,usable,https://www.openstreetmap.org/way/907749070
osm:way:907749071,Đình Long Thành,Tây Ninh,temple,11.2508625,106.11735908222687,,unknown,usable,https://www.openstreetmap.org/way/907749071
osm:way:907749072,Đình An Hội,Vĩnh Long,temple,10.23676925,106.37704417561875,,unknown,usable,https://www.openstreetmap.org/way/907749072
