interval_id,poi_id,day_of_week,specific_date,status,open_minute,close_minute,closes_next_day,observation_id
hours:bc32ea7dd620e329c9bad698,osm:node:12777647201,1,,open,840,1050,0,obs:3f1488c220ef8dfcdcd9c070
hours:be2907baa7fbbe667f5b9454,osm:node:12777647201,2,,open,420,690,0,obs:3f1488c220ef8dfcdcd9c070
hours:cb774132d8d70d27033ec755,osm:node:12777647201,2,,open,840,1050,0,obs:3f1488c220ef8dfcdcd9c070
hours:8258484d232cd655784d86be,osm:node:12777647201,3,,open,420,690,0,obs:3f1488c220ef8dfcdcd9c070
hours:7c3576f4c13d62ef66fc82ab,osm:node:12777647201,3,,open,840,1050,0,obs:3f1488c220ef8dfcdcd9c070
hours:24e4f4cd30b0d85b62fb23ad,osm:node:12777647201,4,,open,420,690,0,obs:3f1488c220ef8dfcdcd9c070
hours:1c8832b9460ce9659ac1c60b,osm:node:12777647201,4,,open,840,1050,0,obs:3f1488c220ef8dfcdcd9c070
hours:a4a25c71743cd7adf6bba40c,osm:node:12777647201,5,,open,420,690,0,obs:3f1488c220ef8dfcdcd9c070
hours:65c9bb33f7e143638e83153f,osm:node:12777647201,5,,open,840,1050,0,obs:3f1488c220ef8dfcdcd9c070
hours:8bef3ff46d0f5ca422bd1565,osm:node:12777647201,6,,open,420,690,0,obs:3f1488c220ef8dfcdcd9c070
hours:973696a3184ebc7ff0ae4038,osm:node:12777647201,6,,open,840,1050,0,obs:3f1488c220ef8dfcdcd9c070
hours:30a8cf9a7201f5aa74b6b37b,osm:node:12848915702,0,,open,360,1320,0,obs:0fdf2a8334bd8e103ce95e73
hours:87c7e85b6dfc1f5208fdec0a,osm:node:12848915702,1,,open,360,1320,0,obs:0fdf2a8334bd8e103ce95e73
hours:eb6031d1b9dff7426623cdba,osm:node:12848915702,2,,open,360,1320,0,obs:0fdf2a8334bd8e103ce95e73
hours:b848561b4f7f68fc10530f3b,osm:node:12848915702,3,,open,360,1320,0,obs:0fdf2a8334bd8e103ce95e73
hours:56d22c0cb1fbe547dfc9559a,osm:node:12848915702,4,,open,360,1320,0,obs:0fdf2a8334bd8e103ce95e73
hours:397d302251f8ac93a81c6191,osm:node:12848915702,5,,open,360,1320,0,obs:0fdf2a8334bd8e103ce95e73
hours:8700c8d30b7d2eda2003a4c6,osm:node:12848915702,6,,open,360,1320,0,obs:0fdf2a8334bd8e103ce95e73
hours:12dfa4a4928df7a4dfc3aec1,osm:node:12908570948,0,,open,420,1320,0,obs:b7577db70165c8e9cc98e603
hours:a9854a8c54a87f1f7a5ec6be,osm:node:12908570948,1,,open,420,1320,0,obs:b7577db70165c8e9cc98e603
hours:103f6fe4bda76059c63e6707,osm:node:12908570948,2,,open,420,1320,0,obs:b7577db70165c8e9cc98e603
hours:f274edd6029d1d5ff0b5fa10,osm:node:12908570948,3,,open,420,1320,0,obs:b7577db70165c8e9cc98e603
hours:0ee427e8916f298e007eff50,osm:node:12908570948,4,,open,420,1320,0,obs:b7577db70165c8e9cc98e603
hours:f880cae217ecdfb2659653ee,osm:node:12908570948,5,,open,420,1320,0,obs:b7577db70165c8e9cc98e603
hours:3322e61cab65f259aaa68454,osm:node:12908570948,6,,open,420,1320,0,obs:b7577db70165c8e9cc98e603
hours:061d08b65edc832e95434f40,osm:node:13057480901,0,,open,330,1020,0,obs:ed7c99c7e0c38b902861588f
hours:4a4ada4fd879040c4515440a,osm:node:13057480901,1,,open,330,1020,0,obs:ed7c99c7e0c38b902861588f
hours:fbeff2bc1bf96ec921d1accf,osm:node:13057480901,2,,open,330,1020,0,obs:ed7c99c7e0c38b902861588f
hours:18348c5b717e097a073a531c,osm:node:13057480901,3,,open,330,1020,0,obs:ed7c99c7e0c38b902861588f
hours:8738a4d54c024335c3ee6e00,osm:node:13057480901,4,,open,330,1020,0,obs:ed7c99c7e0c38b902861588f
hours:887674becdfe0848bfed23db,osm:node:13057480901,5,,open,330,1020,0,obs:ed7c99c7e0c38b902861588f
